"rank","team","past_week_average","current_week","cutline","franchise_key"
"1","Chris Paepke (@cpap_cstar17) Rahal Letterman Lanigan Racing","147.29","406.90","+87.77","sleeper:1237453381916692480:9"
"2","Alfredo Sosa (@asosachoza) Diablos Rojos del México Live","143.39","399.48","+76.45","sleeper:1237103709314371584:9"
"3","Matthew Socha (@SochaMatthew) Kansas City Royals Live","150.61","378.88","+63.07","sleeper:1237128342746968064:4"
"4","515 Fantasy Football, ESPN Des Moines - Andy Hall (@AndyHallRadio) Savannah Bananas","137.61","388.14","+59.33","sleeper:1237450813899554816:10"
"5","Dynasty Dummies - John Michael (@JMicCheck) Kentucky Wildcats Live","146.88","370.94","+51.40","sleeper:1237138506694807552:12"
"6","Joe Sloan (@_im_joe_) Rutgers Scarlet Knights","143.27","374.06","+50.91","sleeper:1237452431428681728:2"
"7","Joe Preziuso (@Joe_Prez22) Dallas Stars Live","151.77","359.82","+45.17","sleeper:1237139913552437248:10"
"8","network television writer/Garrett Lerner - David Foster (@davidfosterbigpartyjoe) Los Angeles Chargers Live","146.00","360.60","+40.18","sleeper:1237293643140706304:9"
"9","Bharat Balyan Wake Forest Demon Deacons","149.08","355.40","+38.06","sleeper:1237438007254978560:2"
"10","Robb Silverstein (@robbsilverstein) California Golden Bears","153.48","350.14","+37.20","sleeper:1237307979309535232:1"
"11","Cody Hess (@Cody_Hess02) Columbus Blue Jackets","141.56","361.04","+36.18","sleeper:1237310338513256448:5"
"12","Lee Fawber Golden State Warriors","150.41","350.86","+34.85","sleeper:1237316097846284288:2"
"13","Todd Peat (@TJPeat) USC Trojans","140.44","358.48","+32.50","sleeper:1237439131953397760:10"
"14","Benjamin Hernandez (@Taranis8) Boise State Broncos","147.36","347.22","+28.16","sleeper:1237305827933564928:9"
"15","Chandler Russell Texas Rangers Live","141.68","351.78","+27.04","sleeper:1237139658836549632:10"
"16","Ben Condeelis (@TheExtraPointFF) Winnipeg Blue Bombers","150.05","341.36","+24.99","sleeper:1237436073613721600:7"
"17","John Ryan (@jbr1962) South Carolina Gamecocks","143.96","346.24","+23.78","sleeper:1237449748441468928:7"
"18","Karson Trevillion Arkansas Razorbacks Live","146.61","341.96","+22.15","sleeper:1237114791701528576:7"
"19","RotoWire - Kevin O'Brien Dale Coyne Racing","136.71","350.48","+20.77","sleeper:1237312291943239680:9"
"20","South Morison (@Southgate_SFL) Capital City Go-Go Live","137.35","349.78","+20.71","sleeper:1237279682907357184:2"
"21","Dustin Flesch (@Dflash1017) Denver Broncos","137.46","349.66","+20.70","sleeper:1237312824154275840:11"
"22","Steve Jackson (@sjjackso2) Columbus Crew","147.56","337.70","+18.84","sleeper:1237310531249905664:11"
"23","CBS Sports - Frank Stampfl (@Roto_Frank) Globo Gym Purple Cobras (Dodgeball)","149.29","335.28","+18.15","mfl:www43.myfantasyleague.com:2025:68331:0004"
"24","Rick Magee Charlotte Sting Live","141.25","342.58","+17.41","sleeper:1237124129082064896:7"
"25","Kevin Dorman (@kwdorman) Newcastle","143.38","340.20","+17.16","sleeper:1237463008809066496:1"
"26","FFAkron - Jeff Bologna (@Jbologn1) Cleveland Cavaliers Live","143.32","339.26","+16.16","sleeper:1237114531721789440:9"
"27","Footballguys - Jason Wood (@fbgwood) Phoenix Suns","148.28","333.54","+15.40","sleeper:1237456109153820672:1"
"28","Footballguys.com - Drew Davenport (@DrewDavenportFF) Indiana Hoosiers","144.97","336.50","+15.05","sleeper:1237451371171557376:6"
"29","CHRISTOPHER WILD (@W1ldMD) Oklahoma Sooners","147.83","332.96","+14.37","sleeper:1237457419425038336:9"
"30","Fantasy Impact Today - Pierre Wilson (@pwee31) Indiana Fever Live","163.82","315.36","+12.76","sleeper:1237138299743645696:5"
"31","Backsportspage.com/Zero Technique Football Podcast - Ryan Stern (@rstern33) Boston College Eagles","138.85","340.26","+12.69","sleeper:1237306276623421440:3"
"32","April Balasquide (@aprilbalasquide) Las Vegas Aces Live","154.05","324.86","+12.49","sleeper:1237130763426598912:2"
"33","carl boullosa (@CarlBoullosa) Seattle Reign FC","144.15","334.00","+11.73","mfl:www43.myfantasyleague.com:2025:21953:0001"
"34","Matthew Cohen (@Precept24) New Jersey Devils","145.83","332.30","+11.71","sleeper:1237464060975382528:3"
"35","The Fantasy Footballers - Paul Marnie (@PaulMarnie) UCF Knights","161.92","316.18","+11.68","sleeper:1237439670808219648:3"
"36","Footballguys/ Fantasy Football RPG / Last Word on Sports - Mike Kashuba (@FFMikeKash) Virginia Tech Hokies","147.64","330.16","+11.38","sleeper:1237438117267378176:1"
"37","IN BETWEEN MEDIA - Steven Lawson (@Steve_Lawson93) Florida State Seminoles","144.06","332.30","+9.94","sleeper:1237315027334090752:11"
"38","John Burton (@Jjhp121315 ) Los Angeles Sparks","153.53","322.54","+9.65","sleeper:1237465884872687616:12"
"39","Brendan Connell (@Bmoney312312) St. Louis Blues","142.90","332.70","+9.18","sleeper:1237449077264756736:7"
"40","Rob Voegele (@Rob_Voegele) Charlotte FC","138.24","336.96","+8.78","sleeper:1237308506130874368:9"
"41","Guillotine Leagues - Paul Charchian (@PaulCharchian) UNLV Runnin Rebels Live","146.98","328.18","+8.74","sleeper:1237131513103917056:9"
"42","The Sporting News - Ed Williams (@EdWilliams300) Athletics","141.56","332.96","+8.10","sleeper:1237304342051049472:6"
"43","Women of Fantasy Football/GALvanize - Katie Caldwell (@katielauriss) Williams Racing","149.28","323.00","+5.86","sleeper:1237436195286298624:9"
"44","FantasyHolics - Ryan Frank (@LetsBeFrankFH) Bowling Green Falcons","144.99","326.88","+5.45","sleeper:1237306588142776320:4"
"45","Scott McLean (@scottinthe503) Oregon State Beavers","142.68","327.60","+3.86","sleeper:1237456882679959552:1"
"46","Colby Poulin Mount St. Marys Mountaineers","145.00","324.64","+3.22","sleeper:1250318395379810304:1"
"47","Luiz Almeida Arlington Renegades","152.48","316.82","+2.88","sleeper:1237303618823008256:4"
"48","DynastyWire - JM Viator (@Thedraftgenius) Sacramento Kings","148.53","319.02","+1.13","sleeper:1237452303938633728:4"
"49","Andy Reynolds (@@kareyn09) Indianapolis Colts Live","159.48","307.82","+0.88","sleeper:1237138017211125760:3"
"50","Marco Bortolotto (@MarcoBortolott8) Miami Heat","144.00","322.42","+0.00","sleeper:1237474270947311616:2"
"51","Amanda Solis (@manda_ays) San Antonio Spurs","147.61","318.64","-0.17","sleeper:1237452043019354112:3"
"52","Versell Thompson (@Zl1_vee) Houston Astros Live","138.77","327.38","-0.27","sleeper:1237119110526009344:6"
"53","Tom Howland (@ikemacnorman) Rutgers Scarlet Knights","136.53","329.16","-0.73","sleeper:1237452431428681728:5"
"54","NFL Network - LaQuan Jones (@Realdealfantasy) Las Vegas Athletics Live","140.69","324.96","-0.77","sleeper:1237130982948093952:9"
"55","Joe Ellis (@TheFantasyGiant) Arizona Wildcats","141.94","323.42","-1.06","sleeper:1237303483883868160:10"
"56","Rodrigo Silva de Britto (@rodra1979) Los Angeles Angels","143.11","321.54","-1.77","sleeper:1237465030362939392:10"
"57","Ian Hamilton (@DynastyHambino1) Ole Miss Rebels","147.82","314.56","-4.04","sleeper:1237457179598917632:9"
"58","The Fantasy 40 - @thefantasyforty - Matt Walker (@thefantasyforty) Texas State University Fightin Armadillos (Necessary Roughness)","134.93","326.70","-4.79","mfl:www43.myfantasyleague.com:2025:51475:0007"
"59","Nick Kuhl (@@NicholasKu12212) Minnesota United FC Live","136.71","324.68","-5.03","sleeper:1237294166174609408:12"
"60","TheUndroppables.com - Justin Mandaro (@Jman_FF) Dallas Mavericks Live","137.84","322.96","-5.62","sleeper:1237139464946450432:10"
"61","Roshun Pai (@Roshunpai) Vanderbilt Commodores","142.31","318.34","-5.77","sleeper:1237438433190744064:3"
"62","Aaron Moya (@Aaron_Maverick) Club América Live","153.23","307.34","-5.85","sleeper:1237104834151194624:7"
"63","Frederick Saporito (@Skappy625) Philadelphia 76ers Live","137.50","322.70","-6.22","sleeper:1237291072632131584:6"
"64","Charles Brown (@bcrhoawdn11400) Texas A&M Aggies","136.31","323.62","-6.49","sleeper:1237441013027459072:6"
"65","Lauree Foster (@laureefoster) Seattle Seahawks","142.99","316.38","-7.05","sleeper:1237450285190754304:1"
"66","Bill Schuler (@WilliamSchule20) Buffalo Bills","140.38","317.76","-8.28","sleeper:1237307133792366592:5"
"67","Fantasy Sports Advice Network and Undroppables - Grindberg (@FFCanuck99) Winnipeg Jets","149.29","308.60","-8.53","sleeper:1237435945339338752:1"
"68","Chad Cacchione (@JokerChad ) Los Angeles Lakers Live","140.68","317.06","-8.68","sleeper:1237293306082242560:9"
"69","Scott Weiss (@ScotttyDubs) UConn Huskies","146.65","310.78","-8.99","sleeper:1237439395749957632:1"
"70","Peter Christie (@Roguegravity) JR Motorsports","145.82","311.08","-9.52","sleeper:1237452868345143296:2"
"71","Game charter for Playerprofiler.com + charitable Fantasy leagues - Daniel Gamboa (@OGyodaSports) Los Angeles Dodgers Live","142.74","313.58","-10.10","sleeper:1237293468112404480:10"
"72","Zachary Bartlett Power Source","136.40","318.84","-11.18","sleeper:1237453907555274752:2"
"73","DynastyNerds - Garret Price (@DynastyPrice) Cleveland Guardians","146.31","308.78","-11.33","sleeper:1237309496045342720:11"
"74","Michelle Mayhew (@Sublimegirl74) Flint Tropics (Semi Pro)","152.75","302.30","-11.37","mfl:www43.myfantasyleague.com:2025:21997:0006"
"75","RPO Football and FTN - Leo McNeeley (@MasterIDP) Miami Sharks (Any Given Sunday)","149.52","304.20","-12.70","mfl:www43.myfantasyleague.com:2025:59306:0004"
"76","Jonathan Cloer (@Pike1212) Haas Factory Team","133.63","319.92","-12.87","sleeper:1237316421449437184:4"
"77","Casey Keil (@CaseyKeil42) Northwestern Wildcats Live","150.53","302.96","-12.93","sleeper:1237134825014444032:5"
"78","Tyler Bills (@TbillsAA) Cleveland Guardians Live","148.86","304.40","-13.16","sleeper:1237114254360846336:3"
"79","Dynasty Football Factory Yards Per Fantasy - Stephen Chalmers (@FFChalmers) Delaware Blue Hens","141.66","311.46","-13.30","sleeper:1237312706013319168:1"
"80","- Greg Quirk (@GregQuirkSports) Colorado Rockies Live","147.94","304.82","-13.66","sleeper:1237132232770981888:4"
"81","DLF - Ken Moody (@DLF_Kenm) San Diego Padres","143.99","308.62","-13.81","sleeper:1237451789259771904:8"
"82","Pat Joyce (@patjoyceFF) Arizona Cardinals","147.69","304.22","-14.51","sleeper:1237303079209025536:10"
"83","Francisco Casares (@Paco_casares) Racing Louisville FC","135.62","316.14","-14.66","sleeper:1237453511818485760:11"
"84","Blake Spatola New York Mets Live","144.73","306.66","-15.03","sleeper:1237291789648416768:11"
"85","Fantasy In Frames - Tyler Heil (@FFTylerHeil) Carolina Hurricanes","141.24","309.86","-15.32","sleeper:1237308122469511168:12"
"86","Liv Santiago (@Fatsalad_) Los Angeles Rams Live","152.41","298.30","-15.71","sleeper:1237293797054894080:12"
"87","Dustin Krugel (@DustinKrugel) Tennessee Titans Live","147.53","302.60","-16.29","sleeper:1237122067283845120:3"
"88","Randy Chaney (@WildcatRandy) Joe Gibbs Racing","155.24","294.70","-16.48","sleeper:1237452640896434176:9"
"89","brffootball.com.br - Caio Ribeiro (@CaioBr_FF) Manchester City","141.65","307.78","-16.99","sleeper:1237469896493764608:8"
"90","Alex Hebert (@Alexandrehebe14) Detroit Red Wings Live","152.89","296.12","-17.41","sleeper:1237113259870396416:12"
"91","The Devy Royale - Kevin Coleman (@Daboys_22) San Francisco Giants","140.86","307.44","-18.12","sleeper:1237451415475978240:1"
"92","Nathan Carosello (@NathanCarosello) Seattle Kraken","139.46","308.56","-18.40","sleeper:1237450685277024256:8"
"93","Bryan Murphy (@Bryan_j_murphy) Bayside Tigers (Saved by the Bell)","146.07","301.90","-18.45","mfl:www43.myfantasyleague.com:2025:36594:0001"
"94","Fantrax - Todd Hedberg (@TheToddMpls) Minnesota Aurora","141.83","305.74","-18.85","sleeper:1237295884539011072:1"
"95","Steven Hansell (@steveyroyal) Tampa Bay Rays","136.82","310.60","-19.00","sleeper:1237441798897414144:4"
"96","Fantasy Sports Advice Network - Matthew Mutchler (@TexasTrojanFF) Houston Texans Live","139.14","308.26","-19.02","sleeper:1237118674599419904:3"
"97","Brian Epperly (@bepps) Memphis Showboats","135.11","312.22","-19.09","sleeper:1237471131561103360:7"
"98","Graham Burton (@Burton04Graham) Toronto Blue Jays","137.10","309.46","-19.86","sleeper:1237440623682801664:4"
"99","Chasing Points Podcast - Sam Favata New York Red Bulls","142.70","303.74","-19.98","sleeper:1237463145295925248:4"
"100","4for4/SiriusXM - Brendan Darr (@BrendanDarr) Maryland Terrapins","146.20","300.04","-20.18","sleeper:1237470337185091584:3"
"101","Ryan Vretis (@Lilvretuno) Chelsea","141.99","304.18","-20.25","sleeper:1237308745042628608:10"
"102","Andrew DeLong (@SteveLong80) Omaha Stormchasers","139.98","304.66","-21.78","sleeper:1237313491463843840:5"
"103","Jesse Moore Jacksonville Jaguars","136.35","308.18","-21.89","sleeper:1237452441780224000:1"
"104","Jamie Luttrell-Houlihan (@houli75) Washington Commanders - Berry","142.20","302.26","-21.96","mfl:www43.myfantasyleague.com:2025:26001:0012"
"105","Mason Nichols (@Thegoose5000) Utah Jazz","140.57","303.78","-22.07","sleeper:1237438877065551872:6"
"106","Stefan Nowicki (@Stefannowicki) Brooklyn Nets","140.32","303.72","-22.38","sleeper:1237307010752458752:9"
"107","OD Fantasy - Mitchell Beaman (@MitchBeaman) Portland Sea Dogs Live","134.35","309.38","-22.69","sleeper:1237292069806940160:7"
"108","Robert Patterson (@Rob_PattersonSC) Clemson Tigers","142.13","301.46","-22.83","sleeper:1237309369184436224:1"
"109","4for4 - - Matt Savoca (@draftaholic) Washington Capitals","142.58","300.58","-23.26","sleeper:1237437873720922112:11"
"110","Peter Serio (@The_DumbleThor) Pittsburgh Steelers Live","144.61","297.30","-24.51","sleeper:1237287548317876224:9"
