"team","player_name","nfl_team","pos"
"Joe Preziuso (@Joe_Prez22) Dallas Stars Live","Michael Pittman","IND","WR"
"network television writer/Garrett Lerner - David Foster (@davidfosterbigpartyjoe) Los Angeles Chargers Live","Brock Purdy","SF","QB"
"Robb Silverstein (@robbsilverstein) California Golden Bears","George Kittle","SF","TE"
"John Ryan (@jbr1962) South Carolina Gamecocks","George Kittle","SF","TE"
"CBS Sports - Frank Stampfl (@Roto_Frank) Globo Gym Purple Cobras (Dodgeball)","George Kittle","SFO","TE"
"Kevin Dorman (@kwdorman) Newcastle","Brock Purdy","SF","QB"
"Fantasy Impact Today - Pierre Wilson (@pwee31) Indiana Fever Live","Christian McCaffrey","SF","RB"
"The Fantasy Footballers - Paul Marnie (@PaulMarnie) UCF Knights","Christian McCaffrey","SF","RB"
"Footballguys/ Fantasy Football RPG / Last Word on Sports - Mike Kashuba (@FFMikeKash) Virginia Tech Hokies","Jonathan Taylor","IND","RB"
"Footballguys/ Fantasy Football RPG / Last Word on Sports - Mike Kashuba (@FFMikeKash) Virginia Tech Hokies","Michael Pittman","IND","WR"
"Andy Reynolds (@@kareyn09) Indianapolis Colts Live","Jonathan Taylor","IND","RB"
"Andy Reynolds (@@kareyn09) Indianapolis Colts Live","Christian McCaffrey","SF","RB"
"Versell Thompson (@Zl1_vee) Houston Astros Live","George Kittle","SF","TE"
"Nick Kuhl (@@NicholasKu12212) Minnesota United FC Live","Michael Pittman","IND","WR"
"TheUndroppables.com - Justin Mandaro (@Jman_FF) Dallas Mavericks Live","Tyler Warren","IND","TE"
"Aaron Moya (@Aaron_Maverick) Club América Live","Christian McCaffrey","SF","RB"
"Frederick Saporito (@Skappy625) Philadelphia 76ers Live","Brock Purdy","SF","QB"
"Lauree Foster (@laureefoster) Seattle Seahawks","George Kittle","SF","TE"
"Lauree Foster (@laureefoster) Seattle Seahawks","Brock Purdy","SF","QB"
"Fantasy Sports Advice Network and Undroppables - Grindberg (@FFCanuck99) Winnipeg Jets","Michael Pittman","IND","WR"
"Chad Cacchione (@JokerChad ) Los Angeles Lakers Live","Brock Purdy","SF","QB"
"Game charter for Playerprofiler.com + charitable Fantasy leagues - Daniel Gamboa (@OGyodaSports) Los Angeles Dodgers Live","Christian McCaffrey","SF","RB"
"Michelle Mayhew (@Sublimegirl74) Flint Tropics (Semi Pro)","Jonathan Taylor","IND","RB"
"Casey Keil (@CaseyKeil42) Northwestern Wildcats Live","Christian McCaffrey","SF","RB"
"Pat Joyce (@patjoyceFF) Arizona Cardinals","Christian McCaffrey","SF","RB"
"Liv Santiago (@Fatsalad_) Los Angeles Rams Live","Brock Purdy","SF","QB"
"Dustin Krugel (@DustinKrugel) Tennessee Titans Live","Jauan Jennings","SF","WR"
"Randy Chaney (@WildcatRandy) Joe Gibbs Racing","Christian McCaffrey","SF","RB"
"Alex Hebert (@Alexandrehebe14) Detroit Red Wings Live","Christian McCaffrey","SF","RB"
"Brian Epperly (@bepps) Memphis Showboats","Tyler Warren","IND","TE"
"Peter Serio (@The_DumbleThor) Pittsburgh Steelers Live","Brock Purdy","SF","QB"
"Shandon Johnson (@FeeltheShand) Tottenham Hotspur","Jonathan Taylor","IND","RB"
"Sergi Biamonti (@@whodatspain) FC Barcelona Live","Jauan Jennings","SF","WR"
"Sergi Biamonti (@@whodatspain) FC Barcelona Live","Christian McCaffrey","SF","RB"
"Sergi Biamonti (@@whodatspain) FC Barcelona Live","Tyler Warren","IND","TE"
"DynastyFreeks.com - Justin Christopher (@LonghornJustin) Colorado Rapids","Christian McCaffrey","SF","RB"
"FootballGuys - Scott Bischoff (@Bischoff_Scott) Ole Miss Rebels","Jonathan Taylor","IND","RB"
"Bryan Hurley (@brhurley) Globo Gym Purple Cobras (Dodgeball)","Christian McCaffrey","SFO","RB"
"Bryan Hurley (@brhurley) Globo Gym Purple Cobras (Dodgeball)","Michael Pittman","IND","WR"
"Jordan Marschke (@JPMarschke) Minnesota Twins Live","Tyler Warren","IND","TE"
"Byron Watkins (@Byron_Watkins) Kansas City Current Live","Brock Purdy","SF","QB"
"Lee Abrahams (@LeeAbo10) Harchester United Live","George Kittle","SF","TE"
"Jake Binegar (@binnytron) Cincinnati Bengals Live","Christian McCaffrey","SF","RB"
"RotoViz - Devin McIntyre (@devinmci) New York Liberty","George Kittle","SF","TE"
"Dustin Morrison (@Caribooloo1) CF Montreal","Jauan Jennings","SF","WR"
"Dub Club - CJ Kaltenbach (@TheSeigeDFS) Las Vegas Athletics Live","Jonathan Taylor","IND","RB"
"Cody Wagner (@not_rileyj) Michigan State Spartans","Jauan Jennings","SF","WR"
"Richard Boehmer (@Richardboehmer1 ) FC Cincinnati Live","Christian McCaffrey","SF","RB"
"Richard Boehmer (@Richardboehmer1 ) FC Cincinnati Live","Jauan Jennings","SF","WR"
"Lindsay Kennedy (@Lin6) Calgary Flames","Brock Purdy","SF","QB"
"Average Joe''s Fantasy Football - Steven McCrory (@AvgJoes_ff) New England Revolution","Jonathan Taylor","IND","RB"
"Chris Ferchen (@FantasyFabio) Buffalo Bisons Live","Jonathan Taylor","IND","RB"
"Kevin Schwei (@kaschwei) Ottawa Senators","George Kittle","SF","TE"
"Paul Fitzsimmons Haas Factory Team","Tyler Warren","IND","TE"
"FTN - Tyler Loechner (@LoechnerNFL) South Park Cows (South Park)","George Kittle","SFO","TE"
"Scott Calka (@Scalka74 ) Colorado Rockies","Brock Purdy","SF","QB"
"Ryan Kennedy (@RyanKennedy_22) Pittsburgh Pirates Live","George Kittle","SF","TE"
"Dan Cummings Liverpool","Jonathan Taylor","IND","RB"
"Derek Likes Sports - Derek Thomas (@DerekAdamThomas) Washington Senators Live","Christian McCaffrey","SF","RB"
"Allen Holzheimer (@papaphoenix1977) Minnesota Aurora","Jonathan Taylor","IND","RB"
"Allen Holzheimer (@papaphoenix1977) Minnesota Aurora","Tyler Warren","IND","TE"
"Michael Clark (@KappaAmerica) Kansas City Monarchs Live","Jonathan Taylor","IND","RB"
"Michael Clark (@KappaAmerica) Kansas City Monarchs Live","Jauan Jennings","SF","WR"
"Matthew Shoener (@@MK_Shoener) Calgary Stampeders","Daniel Jones","IND","QB"
"Jose Dantas Oliveira Filho (@jdantasfilho) Angel City FC","Jonathan Taylor","IND","RB"
"Jose Dantas Oliveira Filho (@jdantasfilho) Angel City FC","Brock Purdy","SF","QB"
"Matthew Fenedick (@Lovemycowboys13) Team Penske","Michael Pittman","IND","WR"
"Michael Constanrlt (@Constantlycool) Boston Celtics","Michael Pittman","IND","WR"
"PFF - Nathan Jahnke Cincinnati Bearcats Live","Christian McCaffrey","SF","RB"
"Stephanie Vincent San Diego Wave FC","Brock Purdy","SF","QB"
"Adam Rosenbaum (@jetsfanR) Tune Squad (Space Jam)","Christian McCaffrey","SFO","RB"
"Eric Sokol (@esokes) McLaren","George Kittle","SF","TE"
"Bernie Wolin (@WOLIN BERNIE ) NY Racing Team","Jonathan Taylor","IND","RB"
"Fantasy Effect - Jonathan Hall (@Hallllerjono) Los Angeles Sparks","Tyler Warren","IND","TE"
